doi,number,title,keywords,abstract,year
https://doi.org/10.1016/j.worlddev.2023.106392,,Advancing UN digital cooperation: Lessons from environmental policy and governance,"Digital cooperation, Global governance, Environmental governance, Digitalisation, United Nations, Infodemic, Governance gaps, Global challenges","The digital age brings great promise for human development. Yet, the benefits of digital technology can only be realised by mobilising global cooperation to close persistent digital divides and address the harms, risks, and uncertainties of digitalisation. To date, the global digital landscape is dominated by private technology companies and a few governments of technologically advanced countries, while less developed countries and civil society actors effectively have no voice. The goal of the United Nations’s (UN) Digital Cooperation initiative is to maximise the benefits and minimise the costs of digital transformation while ensuring that no-one is left behind. The UN’s Digital Cooperation identifies the main directions for action but also acknowledges that persistent governance gaps undermine its cooperation efforts. This paper argues that we can learn how to improve global cooperation to govern the digital space by drawing on experiences from global environmental governance. Based on an extensive literature review, I show how existing governance gaps in global digital cooperation can be analysed and addressed. Specifically, I focus on the implications for the UN and identify which roles and functions it could take. Online misinformation is used as a compelling illustration of how lessons derived from environmental governance can inform responses to digital problems. The paper outlines an agenda that can set UN Digital Cooperation on a path towards success in mitigating the uncertainties the digital future will bring.",2024
https://doi.org/10.1016/j.rser.2023.113847,,Smart materials for biomimetic building envelopes: current trends and potential applications,"Shape memory materials, Architecture, Responsive, Climate adaptive envelope, Environment, Biomimetic design, Resilience","To reduce the energy consumption of buildings and limit their impact on the environment, greater attention has been paid, in recent years, to adaptive building envelopes technologies. Combining the dual function of sensors and actuators, smart materials are configured as excellent allies of adaptive technologies. Their responsiveness facilitates the dynamic interaction between the building and the environment through the building envelope configured as a living interface, similar to the skin of natural organisms. This study aims to explore the current trends and potential applications of smart materials to define biomimetic solutions for environmentally adaptive building envelopes. Starting from specifying the fine distinction between adaptive and responsive solutions, the PRISMA method is used to conduct a systematic literature review, together with a bibliometric analysis, to identify the main common occurrences of the keywords, the predominant geographical areas and the main sources. Only materials that respond to the environmental triggers of light, temperature and water were considered to create a design matrix that enriches the implementation phase of the biomimetic-Adaptive Model and provides researchers with a new useful tool for the biomimetic design phases. The study shows how smart materials can be used to realise the responsive functions of the biomimetic envelope, capable of regulating temperature, shielding solar radiation, filtering or reacting to variable environmental parameters. The application of smart materials in architecture is still limited, paving the way for future research discoveries and synergistic collaboration between architectural technologies, biology, and material sciences, and leading to a more sustainable built environment.",2023
https://doi.org/10.1016/j.heliyon.2024.e27850,6.0,Smart cities and innovative urban management: Perspectives of integrated technological solutions in urban environments,"Smart city, Internet of things, Technological applications, Bibliometric analysis, Systematized literature review","The increasing urbanization in a poorly planned way accentuates the imbalance between the population's needs and the organized development in urban spaces. The present study is based on the development of a situational diagnosis in the scope of a smart city, for the contextualization of potential opportunities for actions and innovation strategies in urban spaces. This article presents a literature overview covering the innovative actions developed in the scope of smart cities in scientific publications. Furthermore, the scope of the study is identifying innovation initiatives in the performance of actions and solutions for urban spaces. A literature review was developed supported by mappings, couplings, and diagrams, through the use of VOSViewer and SciMat software, and 115 articles were selected and analyzed, considering the articles based on the criterion of the coefficient of the number of citations concerning the year of publication. In the literature overview developed, it was found that the research within the scope of smart cities has been deepened over the years, with the evolution of the number of words related to the theme in the period from 2014 to 2021, as the advance in the number of publications from 2018 is noticeable, which highlights the increase in popularity regarding the topic, as well as its current relevance. The study identified thematic axes with an emphasis on technology and innovation, environment, urbanism, energy, governance, mobility, and accessibility. The results contributed by assembling innovative smart city actions and practices in an interrelated way with technology, innovation, and market-oriented constructs aimed to reach urban demands, as well as the development of innovative solutions between public institutions and business organizations to integrate urban spaces.",2024
https://doi.org/10.1016/j.esr.2022.100992,,Participation of active consumers in the electricity system: Design choices for consumer governance,"Energy market design, Demand response, Distributed energy resources, Variable tariff, Local energy market, Virtual power plant, Energy community","Household electricity use has an increasing impact on the overall energy system. Numerous proposals have been made to support households to consume electricity in a system-friendlier manner. By breaking these proposals down into functions and how they are performed, this paper identifies four distinctive governance designs: energy communities, variable electricity tariffs, local energy markets and virtual power plants. None covers all the functions required and each addresses different trade-offs that households face. Energy communities focus on investing in energy assets, while the others target the operation of households’ assets, including demand response. Virtual power plants attract profit-oriented consumers, while the others primarily target normative consumers.",2022
https://doi.org/10.1016/j.smhl.2022.100310,,Ultimate approach and technologies in smart healthcare: A broad systematic review focused on citizens,"Smart cities, Smart healthcare. smart citizens. Citizen's role. technology","Smart Cities are city models that emerged to face the problems of current city configurations, promoting improvement in infrastructure and the provision of essential services through technological implementation. The provision of health services is necessary and a civil right, being one of the dimensions proposed in Smart Cities, represented by Smart Healthcare. This model of cities, as well as its dimensions, have great appeal in the technological application, as the main means of promoting smart services. However, it appears that the approach to the role of the citizen in the promotion of intelligence is neglected, leaving questions about the role of the citizen in Smart Cities. Thus, the present study aimed to identify the technological structures applied in Smart Healthcare, allowing us to identify the role of the citizen in the promotion of smarter health services. A systematic literature review was carried out using the Methodi Ordinatio, resulting in a portfolio composed of 26 articles with scientific relevance. From the content analysis, four main approaches were identified, as well as technologies and methods to address one of the biggest challenges of health technologies: data security and privacy. From this, the role of the citizen in the Smart Healthcare was evidenced, aiming to contribute to the planning of projects and the development of future research to consider with more attention the participation of citizens.",2022
https://doi.org/10.1016/j.metrad.2024.100078,2.0,"The general intelligence of GPT–4, its knowledge diffusive and societal influences, and its governance","GPT–4, Artificial general intelligence, Knowledge diffusion, Interpretability and explainability, Societal influences, Governance","Recent breakthroughs in artificial intelligence (AI) research include advancements in natural language processing (NLP) achieved by large language models (LLMs), and; in particular, generative pre–trained transformer (GPT) architectures. The latest GPT developed by OpenAI, GPT–4, has shown remarkable intelligence across various domains and tasks. It exhibits capabilities in abstraction, comprehension, vision, computer coding, mathematics, and more, suggesting it to be a significant step towards artificial general intelligence (AGI), a level of AI that possesses capabilities similar to human intelligence. This paper explores this AGI, its knowledge diffusive and societal influences, and its governance. In addition to coverage of the major associated topics studied in the literature, and making up for their loopholes, we scrutinize how GPT-4 can facilitate the diffusion of knowledge across different areas of science by promoting their interpretability and explainability (IE) to inexperts. Where applicable, the topics are also accompanied by their specific potential implications on medical imaging.",2024
https://doi.org/10.1016/j.esg.2022.100147,,A portrait of the different configurations between digitally-enabled innovations and climate governance,,"Rapid societal transformations are required to keep global average temperature rise well below 2 °C by 2050. An increasingly diverse set of initiatives are leveraging digital technologies to transform society. Given the rapid pace at which these initiatives emerge and the accelerated rate of technological innovation, few connections are made as to their common approaches and motivations. To address this, we developed a database of such initiatives from around the world. We propose a categorization of four types of strategies: data mobilization, optimization of existing strategies, incentivizing and automating behavioural change, and enhancing participation and empowerment of individuals. We analyse connections between types of strategies through the lens of the Earth System Governance framework's original 5 A's – Architecture, Agency, Adaptiveness, Accountability, and Allocation & Access. This work provides a first step towards understanding how digitally-enabled initiatives are contributing to re-imagining climate governance.",2022
https://doi.org/10.1016/j.iotcps.2023.12.002,,Metaverse for smart cities: A survey,"Metaverse, Smart cities, Technologies, Applications, Opportunities","The concept of a smart city is geared towards enhancing convenience and the efficient management of city areas through innovation. As Metaverse rises in the 2020s, providing the possible direction for a new generation of the Internet, it has a huge number of opportunities to promote smart cities. The Metaverse can empower smart cities in various aspects. In this article, we provide a detailed review of smart cities based on Metaverse technologies. Firstly, we introduce the Metaverse and smart cities and describe the future vision and applications of smart cities, which are based on the Metaverse. In addition, we discuss the essential technologies for smart cities in the Metaverse and the currently available solutions. Additionally, we have some concerns regarding the potential of Metaverse and there are still unresolved issues that should be addressed. The purpose of this article is to provide researchers and developers with essential guidance and opportunities to propel the development of the Metaverse and smart cities.",2024
https://doi.org/10.1016/j.rser.2023.114023,,A systematic review towards integrative energy management of smart grids and urban energy systems,"Smart grid, Smart urban energy system, Integrative energy management, Cyber-physical-social system, Process integration, Upscaling","This paper presents a systematic review to align current and future research in smart grids (SG) and smart urban energy systems (SUES) and unify the diverse but fragmented research in urban energy management. First, the common research themes repeatedly appearing in the SG and SUES literature are categorized into logical physical, cyber, and social energy processes. Critical findings are summarized for each part, i.e., the advances and trends in physical energy generation, transmission, consumption, and storage processes of cities for energy interventions, the cyber process chain of energy sensing, modeling, forecasting, scheduling, coordinating, and adapting for enhancing the “smartness” of power and urban energy systems, and the social energy processes of understanding, protecting, engaging, and governing human to be a new smartness dimension. Second, the process-based framework provides insights on the design and implementation of SG and SUES for engineers, planners, and policymakers, such as optimizing the system performance by upgrading individual processes and exploring new links among identified physical, cyber, and social energy processes. The upscaling barriers and strategies of sustainable energy technologies in the development and deployment stages are also summarized to scale up sustainable energy processes to a higher level. Finally, future research directions are envisioned, including developing data markets, privacy-preserving data sharing and analytics for urban-scale energy modeling, refining policy and standards for safety, privacy, cybersecurity, and interoperability issues, assessing technology maturity and energy system success factors, and removing regulatory and structural barriers.",2024
https://doi.org/10.1016/j.rsma.2023.102841,,A combination of ICT solutions with socio-ecological and economic indicators to evaluate the governance and improve the management of Posidonia oceanica in the Sierra Helada Marine Natural Park," management, Marine protected areas, Information and communication technologies, Environmental governance evaluation, Participation","Marine Protected Areas (MPAs) are essential tools in the protection and conservation of marine ecosystems. However, very few MPAs are effective and meet their conservation objectives mainly due to a lack of coordination, participation or resources. For instance, in the Mediterranean Sea there are about 1062 MPAs, but 72% of them do not have effective regulations to reduce human impacts on biodiversity and current efforts are insufficient in managing human uses for the conservation and protection of marine biodiversity. This makes necessary to seek new ways or instruments for their management. In this sense, digitalization and Information and Communication Technologies (ICT) can provide tools to facilitate the development of MPAs management in a more effective, participatory and efficient manner because automatic agents report their information and digest the data no matter the situation. In the specific case of Spain, one of the main problems identified for MPAs management is the overlapping of different kinds of protected areas in the same territory. In addition, these are managed by different administrations (Regional, National). An example of this situation is the Sierra Helada Marine Natural Park (SHMP) in Alicante. Within its territorial scope there are 3 MPAs with different protection figures that overlap each other, SHMP, the Natura 2000 site of Serra Gelada i la Marina Baixa and a fishing protected area. These MPAs are managed by different regional governmental bodies, and have a natural resources action plan in use, supported by a management collaboration agreement with the town councils in the area and the Altea Nautical Club. In the SHMP, Posidonia oceanica (PO) is one of the most important ecosystems and its presence prompted its creation and declaration. PO is a marine angiosperm endemic to the Mediterranean Sea that forms extensive meadows from the sea surface to 30–40 m depth and which provides essential goods and services: it improves water quality and protect beaches against erosion. PO meadows are recognized as biodiversity hotspots, and as major carbon sinks, but they are very sensitive to human activities. However, although many regulations protect PO, there are still significant threats to their conservation. In this regard, the research presented in this paper is the development of an ICT-based software tool, called Smart MPA, that includes an analysis framework based on management and governance indicators specific for PO and a database on PO that includes and combines different sources of information, including the results obtained of the evaluation of the analytical framework, input from information from citizens or MPA users, for example, by sending photos to report infractions in PO at specific points and from satellite images or underwater UAVs. The main objective of the Smart MPA tool is to offer services applied to PO management, either through the analysis of governance indicators or by facilitating the integration of citizen information to be used in management activities. The tool has been tested and used by the management staff of SHMP to be applied to an annual monitoring of management measures to develop an adaptive management of PO and the SHMP. After that, a semi-structured interview was carried out to collect information on the analytical framework co-developed and a survey was created where management staff of SHMP have given their perception on the usability of the tool and on the environmental problems affecting the conservation of PO in SHMP. According to the results obtained, the management of PO in SHMP is efficient, at a general level, with the lack of adequate funding being a limiting factor. The main threats are boat anchoring and organic pollution. In conclusion, the Smart MPA tool and the analytical framework are instruments that can facilitate the management and promote good environmental governance processes for the conservation of PO meadows in SHMP. At the same time, the importance of exploring mobile apps to increase citizen participation and mitigate threats and impacts on PO have been highlighted.",2023
